CODIGO,CLAVE,DIRECCION,CMUN,DESCR,UTM_X,UTM_Y,BUSCA,DS_ABREV,DS_LARGO,ETIQUETA,URL,MUNICIPIO,CD_VIAL
28082137,EEI,"Calle De José Escobar Y Saliente, 2",079,Distrito de Vicalvaro,452028,4472490,"Escuela de Educación Infantil EEI Distrito de Vicalvaro. Calle De José Escobar Y Saliente, 2. Madrid",EEI,Escuela de Educación Infantil,EEI Distrito de Vicalvaro,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28082137,Madrid,079C0520
28082150,EEI,Calle de la Escuela De Vallecas,079,Distrito Villa de Vallecas,450107,4468011,Escuela de Educación Infantil EEI Distrito Villa de Vallecas. Calle de la Escuela De Vallecas. Madrid,EEI,Escuela de Educación Infantil,EEI Distrito Villa de Vallecas,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28082150,Madrid,079C0375
28082149,EEI,"Calle De La Unanimidad, 29",079,Distrito de Villaverde,441694,4468140,"Escuela de Educación Infantil EEI Distrito de Villaverde. Calle De La Unanimidad, 29. Madrid",EEI,Escuela de Educación Infantil,EEI Distrito de Villaverde,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28082149,Madrid,07911848
28081960,EEI,Calle Josefa Valcarcel,079,Sab Blás-Canillejas,448228,4477812,Escuela de Educación Infantil EEI Sab Blás-Canillejas. Calle Josefa Valcarcel. Madrid,EEI,Escuela de Educación Infantil,EEI Sab Blás-Canillejas,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28081960,Madrid,07903196
28081613,EEI,Calle Embalse De Navacerrada C/v Emb De La Pinilla,079,Villa de Vallecas,449445,4467785,Escuela de Educación Infantil EEI Villa de Vallecas. Calle Embalse De Navacerrada C/v Emb De La Pinilla. Madrid,EEI,Escuela de Educación Infantil,EEI Villa de Vallecas,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28081613,Madrid,079C0412
28701287,CEE,"Calle De Modesto Lafuente, 21",079,Modesto Lafuente,440949,4476843,"Colegio de Educación Especial CEE Modesto Lafuente. Calle De Modesto Lafuente, 21. Madrid",CET,Colegio de Educación Especial,CEE Modesto Lafuente,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28701287,Madrid,07904113
28082162,EEI,Calle De La Jacaranda,079,Distrito de Arganzuela,442407,4472222,Escuela de Educación Infantil EEI Distrito de Arganzuela. Calle De La Jacaranda. Madrid,EEI,Escuela de Educación Infantil,EEI Distrito de Arganzuela,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28082162,Madrid,07911709
28082174,CEIP,"Calle Eras De Arriba, 56",094,Nº1 Navalafuente,442752,4519027,"Colegio Infantil y Primaria CEIP Nº1 Navalafuente. Calle Eras De Arriba, 56. Navalafuente",CP INF-PRI,Colegio Infantil y Primaria,CEIP Nº1 Navalafuente,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28082174,Navalafuente,09400045
28082617,IES,"Calle José Paulete, 59",079,Instalaciones Dependientes del ISMIE,444829,4471537,"Instituto de Educación Secundaria IES Instalaciones Dependientes del ISMIE. Calle José Paulete, 59. Madrid",IES,Instituto de Educación Secundaria,IES Instalaciones Dependientes del ISMIE,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28082617,Madrid,07903169
28082629,CEIP,"Calle José Escobar y Saliente,50",079,El Cañaveral,452197,4472724,"Colegio Infantil y Primaria CEIP El Cañaveral. Calle José Escobar y Saliente,50. Madrid",CP INF-PRI-SEC,Colegio Infantil y Primaria,CEIP El Cañaveral,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28082629,Madrid,079C0520
28082691,CEE,"Camino de los Ingenieros, 6",079,Academia Central de Defensa,436536,4470935,"Centro de Educación Especial CEE.Academia Central de Defensa. Camino de los Ingenieros, 6. Madrid",C. DOC. MILITAR,Centro de Educación Especial,CEE Academia Central de Defensa,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28082691,Madrid,07902878
28082708,CEE,"Carretera Nacional II, Km 22,800",148,Escuela de Técnicas Aeroespaciales,461848,4480093,"Centro de Educación Especial CEE.Escuela de Técnicas Aeroespaciales. Carretera Nacional II, Km 22,800. Torrejón de Ardoz",C. DOC. MILITAR,Centro de Educación Especial,CEE Escuela de Técnicas Aeroespaciales,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28082708,Torrejón de Ardoz,14801760
28082711,CEE,"Ctra. A-5 Extremadura Km 10.5, Autovía del Suroeste, Madrid 28925",079,"Escuela de Técnicas de Mando, Control y Telecomunicaciones",431740,4468900,"Centro de Educación Especial CEE Escuela de Técnicas de Mando, Control y Telecomunicaciones. Ctra. A-5 Extremadura Km 10.5, Autovía del Suroeste, Madrid 28925. Madrid",C. DOC. MILITAR,Centro de Educación Especial,"CEE Escuela de Técnicas de Mando, Control y Telecomunicaciones",https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28082711,Madrid,07902110
28082757,EEI,"Glorieta Del Ejército, 1",079,Gómez Ulla,436611,4471235,"Escuela Educación Infantil EEI Gómez Ulla. Glorieta Del Ejército, 1. Madrid",EEI,Escuela Educación Infantil,EEI Gómez Ulla,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28082757,Madrid,07901901
28701299,CEE,"Calle Mar de Kara, 13",079,Ramón y Cajal,445385,4480414,"Centro de Educación Especial  CEE.Centro Educativo Terapéutico Ramón y Cajal. Calle Mar de Kara, 13. Madrid",AA.HOSPITAL,Centro de Educacin Especial,CEE Ramón y Cajal,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28701299,Madrid,07903734
28082721,EEI,"Paseo Dirección, 305",079,María Moliner,440394,4480172,"Escuela de Educación Infantil EEI María Moliner. Paseo Dirección, 305. Madrid",EEI,Escuela de Educación Infantil,EEI María Moliner,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28082721,Madrid,07901712
28082630,IES,"Avenida Dublín, s/n",014,Eduardo Capa,461362,4461046,"Instituto de Educación Secundaria IES Eduardo Capa. Avenida Dublín, s/n. Arganda del Rey",IES,Instituto de Educación Secundaria,IES Eduardo Capa,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28082630,Arganda del Rey,014C0093
28001873,CEIP,"Calle Goya, 86",023,CEIP San Sebastián,422326,4507152,"Colegio Infantil Primaria CEIP San Sebastián. Calle Goya, 86. El Boalo",CP INF-PRI,Colegio Infantil Primaria,CEIP San Sebastián,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28001873,El Boalo,023C0005
