CODIGO,CLAVE,DIRECCION,CMUN,DESCR,UTM_X,UTM_Y,BUSCA,DS_ABREV,DS_LARGO,ETIQUETA,URL,MUNICIPIO,CD_VIAL
28069391,IES,"Calle Valdehondillo, 8",073,Fernando Fernán Gómez,430368,4456619,"Instituto de Educación Secundaria IES Fernando Fernán Gómez. Calle Valdehondillo, 8. Humanes de Madrid",IES,Instituto de Educación Secundaria,IES Fernando Fernán Gómez,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069391,Humanes de Madrid,073A0190
28069431,IES,"Calle Pintor Velázquez, 64",092,Escuela de Hostelería y Turismo Simone Ortega,425061,4463766,"Instituto de Educación Secundaria IES Escuela de Hostelería y Turismo Simone Ortega. Calle Pintor Velázquez, 64. Móstoles",CP IFP,Instituto de Educación Secundaria,IES Escuela de Hostelería y Turismo Simone Ortega,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069431,Móstoles,092A0294
28069561,EA,"Pasaje de Tortosa, 4",079,Arganzuela,441225,4473023,"Escuela de Educación Artística EA Arganzuela. Pasaje de Tortosa, 4. Madrid",E MUN.MUSICA,Escuela de Educación Artística,EA Arganzuela,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069561,Madrid,07906097
28069571,EA,"Avda Salvador Sánchez Frascuelo, 26",090,Moralzarzal,418339,4503671,"Escuela de Educación Artística EA Moralzarzal. Avda Salvador Sánchez Frascuelo, 26. Moralzarzal",E MUN. MUS-DANZA,Escuela de Educación Artística,EA Moralzarzal,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069571,Moralzarzal,090A0241
28069595,EA,"Cmno Alcalá, s/n",032,Camarma de Esteruelas,468041,4488363,"Escuela de Educación Artística EA Camarma de Esteruelas. Cmno Alcalá, s/n. Camarma de Esteruelas",E MUN.MUSICA,Escuela de Educación Artística,EA Camarma de Esteruelas,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069595,Camarma de Esteruelas,03200224
28069704,CEE,"Calle Reinosa, 26",058,Sor Juana Inés de la Cruz,431475,4461334,"Centro de Educación Especial CEE Sor Juana Inés de la Cruz. Calle Reinosa, 26. Fuenlabrada",CP EE,Centro de Educación Especial,CEE Sor Juana Inés de la Cruz,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069704,Fuenlabrada,058A0405
28069716,CEIP,"Calle Joaquín Turina, 34",080,Santa Catalina,426546,4477944,"Colegio Infantil y Primaria CEIP Santa Catalina. Calle Joaquín Turina, 34. Majadahonda",CP INF-PRI,Colegio Infantil y Primaria,CEIP Santa Catalina,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069716,Majadahonda,08000030
28069728,CEIP,"Avda Las Naciones, 45",058,Victor Jara,431621,4459123,"Colegio Infantil y Primaria CEIP Victor Jara. Avda Las Naciones, 45. Fuenlabrada",CP INF-PRI,Colegio Infantil y Primaria,CEIP Victor Jara,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069728,Fuenlabrada,058A0336
28069741,CEIP,"Calle León Felipe, 32",014,Benito Pérez Galdós,462102,4461084,"Colegio Infantil y Primaria CEIP Benito Pérez Galdós. Calle León Felipe, 32. Arganda del Rey",CP INF-PRI,Colegio Infantil y Primaria,CEIP Benito Pérez Galdós,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069741,Arganda del Rey,014A0219
28069753,CEIP,"Cmno Molino, 1",058,Juan de la Cierva,430796,4459692,"Colegio Infantil y Primaria CEIP Juan de la Cierva. Cmno Molino, 1. Fuenlabrada",CP INF-PRI,Colegio Infantil y Primaria,CEIP Juan de la Cierva,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069753,Fuenlabrada,058A0319
28069820,CEIP,"Calle Puente la Reina, s/n",079,Leopoldo Calvo-Sotelo,442817,4483568,"Colegio Infantil y Primaria CEIP Leopoldo Calvo-Sotelo. Calle Puente la Reina, s/n. Madrid",CP INF-PRI,Colegio Infantil y Primaria,CEIP Leopoldo Calvo-Sotelo,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069820,Madrid,07945738
28069844,IES,"Cmno Molino, 3",058,Jimena Menendez Pidal,430712,4459705,"Instituto de Educación Secundaria IES Jimena Menendez Pidal. Cmno Molino, 3. Fuenlabrada",IES,Instituto de Educación Secundaria,IES Jimena Menendez Pidal,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069844,Fuenlabrada,058A0319
28069871,EEI,"Calle Fray José de Almonacid, 13",151,Torrelaguna (Programa de Casa de Niños),454714,4519490,"Escuela de Educación Infantil EEI Torrelaguna (Programa de Casa de Niños). Calle Fray José de Almonacid, 13. Torrelaguna",EEI-CN,Escuela de Educación Infantil,EEI Torrelaguna (Programa de Casa de Niños),https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28069871,Torrelaguna,151A0048
28070111,EEI,"Calle Molino, 5",075,El Columpio,464898,4470392,"Escuela de Educación Infantil EEI El Columpio. Calle Molino, 5. Loeches",EEI,Escuela de Educación Infantil,EEI El Columpio,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28070111,Loeches,075A0060
28070123,EEI,"Calle Miró, 1",160,Las Meninas,410031,4483925,"Escuela de Educación Infantil EEI Las Meninas. Calle Miró, 1. Valdemorillo",EEI,Escuela de Educación Infantil,EEI Las Meninas,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28070123,Valdemorillo,16010152
28070196,EEI,"Calle Pinos, 13",007,Los Pinos de Maeve,429607,4465706,"Escuela de Educación Infantil EEI Los Pinos de Maeve. Calle Pinos, 13. Alcorcón",EEI,Escuela de Educación Infantil,EEI Los Pinos de Maeve,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28070196,Alcorcón,00702546
28070202,EEI,"Calle Copenhague, 55 (Centro Cívico Margarita Burón)",007,Campanilla,428107,4465928,"Escuela de Educación Infantil EEI Campanilla. Calle Copenhague, 55 (Centro Cívico Margarita Burón). Alcorcón",EEI,Escuela de Educación Infantil,EEI Campanilla,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28070202,Alcorcón,00702602
28070214,EEI,"Calle Madroños, 1",007,Mago de Oz,428673,4465513,"Escuela de Educación Infantil EEI Mago de Oz. Calle Madroños, 1. Alcorcón",EEI,Escuela de Educación Infantil,EEI Mago de Oz,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28070214,Alcorcón,00702549
