municipality_id;cycle;analysis_year;capacity;estimated_places;max_enrolled;applications;admitted;num_centers;centers_names;estimated_need;coverage_ratio;is_covered;deficit
28067;infantil_ii_ciclo;2022-2023;139;46.333333333333336;139;34;34;1;Alejandro Rubio;187.8;0.7401490947816826;False;48.80000000000001
28067;primaria;2022-2023;317;52.833333333333336;317;2;48.333333333333336;1;Alejandro Rubio;425.2;0.7455315145813735;False;108.19999999999999
28067;eso;2022-2023;253;63.25;253;46;43;1;Luis García Berlanga;309.4;0.8177117000646413;False;56.39999999999998
28172;infantil_i_ciclo;2022-2023;34;11.333333333333334;34;35;32;1;Los Almendros;670.8;0.05068574836016697;False;636.8
28172;infantil_ii_ciclo;2022-2023;483;161.0;483;164;116;3;Peñas Albas, Gregorio Canella, Salvador Dalí;713.5999999999999;0.6768497757847535;False;230.5999999999999
28172;primaria;2022-2023;1021;170.16666666666666;1021;52;179.66666666666666;3;Peñas Albas, Gregorio Canella, Salvador Dalí;1539.1999999999998;0.6633316008316009;False;518.1999999999998
28172;eso;2022-2023;708;177.0;708;185;185;1;Don Pelayo;915.2;0.7736013986013985;False;207.20000000000005
28096;infantil_i_ciclo;2022-2023;349;116.33333333333333;349;402;345;3;Campanilla, Barco de Papel, Trébole;961.8;0.36286130172593056;False;612.8
28096;infantil_ii_ciclo;2022-2023;666;222.0;666;189;172;4;Carlos Ruiz, José Jalón, Felipe IV, María Martín;1082.4;0.6152993348115299;False;416.4000000000001
28096;primaria;2022-2023;1513;252.16666666666669;1513;68;223.66666666666669;4;Carlos Ruiz, José Jalón, Felipe IV, María Martín;2725.2;0.5551886100102745;False;1212.1999999999998
28096;eso;2022-2023;1287;321.75;1287;282;207;3;Profesor Ángel Ysern, Carmen Martín Gaite, María Martín;1843.1999999999998;0.6982421875000001;False;556.1999999999998
28087;infantil_i_ciclo;2022-2023;54;18.0;54;57;55;1;Rincón Florido;102.6;0.5263157894736843;False;48.599999999999994
28087;infantil_ii_ciclo;2022-2023;81;27.0;81;29;29;1;Divino Maestro;102.0;0.7941176470588235;False;21.0
28087;primaria;2022-2023;167;27.833333333333332;167;4;26.0;1;Divino Maestro;221.2;0.7549728752260398;False;54.19999999999999
28087;eso;2022-2023;1236;309.0;1236;306;298;3;De Guadarrama, Gonzalo Anes, La Dehesilla;180.2;6.859045504994451;True;0.0
28063;infantil_i_ciclo;2022-2023;29;9.666666666666666;29;36;33;2;Lozoya, Villavieja de Lozoya;9.6;3.0208333333333335;True;0.0
28063;infantil_ii_ciclo;2022-2023;113;37.66666666666667;113;26;26;2;Peñalta, CRA de Lozoya;8.4;13.452380952380953;True;0.0
28063;primaria;2022-2023;248;41.33333333333333;248;2;36.33333333333333;2;Peñalta, CRA de Lozoya;14.4;17.22222222222222;True;0.0
28063;eso;2022-2023;96;24.0;96;1;0;1;Peñalta;13.2;7.272727272727273;True;0.0
28176;infantil_i_ciclo;2022-2023;125;41.66666666666667;125;190;130;2;Los Cedros, Pimpón;593.4;0.2106504887091338;False;468.4
28176;infantil_ii_ciclo;2022-2023;423;141.0;423;130;85;3;Santiago Apostol, Padre Garralda, María Moliner;666.2;0.6349444611227859;False;243.20000000000005
28176;primaria;2022-2023;1016;169.33333333333331;1016;77;153.33333333333334;3;Santiago Apostol, Padre Garralda, María Moliner;1728.8000000000002;0.5876908838500694;False;712.8000000000002
28176;eso;2022-2023;826;206.5;826;145;103;3;Las Encinas, Padre Garralda, María Moliner;1348.4;0.612577870068229;False;522.4000000000001
28118;infantil_i_ciclo;2022-2023;14;4.666666666666667;14;14;14;1;Montejo de la Sierra;0.0;inf;True;0.0
28118;infantil_ii_ciclo;2022-2023;178;59.333333333333336;178;52;52;2;Peñalta, CRA de Lozoyuela;0.4;445.0;True;0.0
28118;primaria;2022-2023;414;69.0;414;5;59.0;2;Peñalta, CRA de Lozoyuela;2.0;207.0;True;0.0
28118;eso;2022-2023;96;24.0;96;1;0;1;Peñalta;1.0;96.0;True;0.0
28169;infantil_i_ciclo;2022-2023;0;0.0;0;0;0;0;Ninguno;50.4;0.0;False;50.4
28169;infantil_ii_ciclo;2022-2023;82;27.333333333333332;82;42;41;1;Puerta de la Sierra;60.2;1.3621262458471761;True;0.0
28169;primaria;2022-2023;133;22.166666666666668;133;1;28.333333333333332;1;Puerta de la Sierra;167.60000000000002;0.7935560859188543;False;34.60000000000002
28169;eso;2022-2023;86;21.5;86;7;2;1;Puerta de la Sierra;125.4;0.6858054226475279;False;39.400000000000006
28025;infantil_i_ciclo;2022-2023;8;2.6666666666666665;8;8;8;1;Siete Estrellas;7.8;1.0256410256410258;True;0.0
28025;infantil_ii_ciclo;2022-2023;294;98.0;294;84;82;3;Juan de Goyeneche, Carlos Ruiz, Miguel de Cervantes;8.4;35.0;True;0.0
28025;primaria;2022-2023;654;109.0;654;18;104.66666666666666;3;Juan de Goyeneche, Carlos Ruiz, Miguel de Cervantes;18.8;34.78723404255319;True;0.0
28025;eso;2022-2023;1001;250.25;1001;147;141;3;Juan de Goyeneche, Villarejo de Salvanés, Miguel de Cervantes;13.8;72.53623188405797;True;0.0
28030;infantil_i_ciclo;2022-2023;81;27.0;81;80;74;3;El Cancionero, La Cabrera, La Cabrera;63.6;1.2735849056603774;True;0.0
28030;infantil_ii_ciclo;2022-2023;70;23.333333333333332;70;22;21;1;Pico de la Miel;67.0;1.044776119402985;True;0.0
28030;primaria;2022-2023;153;25.5;153;3;26.333333333333332;1;Pico de la Miel;166.4;0.9194711538461539;False;13.400000000000006
28030;eso;2022-2023;543;135.75;543;103;101;1;De la Cabrera;140.0;3.8785714285714286;True;0.0
28104;infantil_i_ciclo;2022-2023;519;173.0;519;555;518;6;Garabatos, Virgen de la Ribera Fund. Hnos. Pi Meco, Daganzo, Santiago Apóstol, Soletes, Paso a Pasito;690.6;0.7515204170286707;False;171.60000000000002
28104;infantil_ii_ciclo;2022-2023;490;163.33333333333331;490;137;112;3;Andrea Casamayor, Virgen de la Ribera Fund. Hnos. Pi Meco, Las Navas de Tolosa;884.8;0.5537974683544304;False;394.79999999999995
28104;primaria;2022-2023;1246;207.66666666666669;1246;41;151.0;3;Andrea Casamayor, Virgen de la Ribera Fund. Hnos. Pi Meco, Las Navas de Tolosa;2786.8;0.44710779388546;False;1540.8000000000002
28104;eso;2022-2023;1045;261.25;1045;239;175;2;Simone Veil, Adolfo Suárez;2057.0;0.5080213903743316;False;1012.0
28026;infantil_i_ciclo;2022-2023;120;40.0;120;143;124;2;Pimpón, Prado Alto;243.0;0.49382716049382713;False;123.0
28026;infantil_ii_ciclo;2022-2023;222;74.0;222;48;45;2;Batalla de Brunete, Ágora;274.0;0.8102189781021898;False;52.0
28026;primaria;2022-2023;568;94.66666666666666;568;14;77.0;2;Batalla de Brunete, Ágora;737.6;0.7700650759219089;False;169.60000000000002
28026;eso;2022-2023;466;116.5;466;96;91;1;Alfonso Moreno;600.2;0.7764078640453181;False;134.20000000000005
28902;infantil_i_ciclo;2022-2023;64;21.333333333333336;64;71;66;2;Buitrago de Lozoya, Lozoyuela;13.8;4.63768115942029;True;0.0
28902;infantil_ii_ciclo;2022-2023;178;59.333333333333336;178;52;52;2;Peñalta, CRA de Lozoyuela;16.2;10.987654320987655;True;0.0
28902;primaria;2022-2023;414;69.0;414;5;59.0;2;Peñalta, CRA de Lozoyuela;50.0;8.28;True;0.0
28902;eso;2022-2023;96;24.0;96;1;0;1;Peñalta;41.0;2.341463414634146;True;0.0
28083;infantil_i_ciclo;2022-2023;54;18.0;54;0;0;1;Cascabel;414.6;0.13024602026049203;False;360.6
28083;infantil_ii_ciclo;2022-2023;310;103.33333333333334;310;88;88;2;Gloria Fuertes, San Sebastián;453.79999999999995;0.6831203173204056;False;143.79999999999995
