municipality_id;analysis_year;municipality_name;total_centers;total_population_0_19;population_0_4;population_5_9;population_10_14;population_15_19;total_estimated_need;total_capacity;overall_coverage_ratio;cycles_with_need;cycles_covered;coverage_percentage;is_fully_covered;total_deficit;cycles_with_access;access_percentage;access_classification;has_basic_education;has_mandatory_education;missing_cycles
28066;2022-2023;Griñón;5;2345;356;534;709;746;1748.1999999999998;1443;0.8254204324448005;4;1;25.0;False;305.1999999999998;4;100.0;Acceso Completo;True;True;[]
28027;2022-2023;Buitrago del Lozoya;2;409;65;95;129;120;313.0;436;1.3929712460063899;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28170;2022-2023;Villaconejos;3;707;138;159;197;213;536.6;1052;1.960491986582184;4;3;75.0;False;0.0;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28160;2022-2023;Valdemorillo;3;3100;550;701;893;956;2335.2;1327;0.5682596779719082;4;0;0.0;False;1008.1999999999998;4;100.0;Acceso Completo;True;True;[]
28122;2022-2023;Ribatejada;6;158;27;43;38;50;117.99999999999999;2141;18.144067796610173;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28024;2022-2023;Braojos;3;24;7;4;5;8;17.6;455;25.852272727272727;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28151;2022-2023;Torrelaguna;5;1031;173;241;294;323;772.5999999999999;918;1.1881957028216414;4;2;50.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28002;2022-2023;Ajalvir;3;975;168;219;264;324;715.8;918;1.2824811399832357;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28009;2022-2023;Algete;12;4772;854;1081;1338;1499;3572.7999999999997;3233;0.9048925212718317;4;1;25.0;False;339.7999999999997;4;100.0;Acceso Completo;True;True;[]
28111;2022-2023;Pezuela de las Torres;4;201;42;58;62;39;169.8;1390;8.186101295641931;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28099;2022-2023;Navas del Rey;1;665;149;157;173;186;516.2;436;0.8446338628438589;4;1;25.0;False;80.20000000000005;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28129;2022-2023;San Agustín del Guadalix;6;3406;478;741;1095;1092;2532.4;2079;0.8209603538145632;4;1;25.0;False;453.4000000000001;4;100.0;Acceso Completo;True;True;[]
28038;2022-2023;Cercedilla;3;1367;266;321;382;398;1048.6;809;0.7715048636276941;4;1;25.0;False;239.5999999999999;4;100.0;Acceso Completo;True;True;[]
28050;2022-2023;Cubas de la Sagra;4;1937;294;469;593;581;1472.1999999999998;1470;0.9985056378209484;4;1;25.0;False;2.199999999999818;4;100.0;Acceso Completo;True;True;[]
28132;2022-2023;San Martín de la Vega;7;4894;879;1196;1483;1336;3825.2;2639;0.6898985673951689;4;0;0.0;False;1186.1999999999998;4;100.0;Acceso Completo;True;True;[]
28119;2022-2023;Quijorna;4;957;157;219;273;308;710.6;1643;2.3121305938643397;4;3;75.0;False;0.0;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28035;2022-2023;Carabaña;3;493;108;122;126;137;383.4;771;2.0109546165884193;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28088;2022-2023;Montejo de la Sierra;2;47;3;10;12;22;29.400000000000002;410;13.945578231292515;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28044;2022-2023;Colmenarejo;5;2146;309;460;654;723;1567.6;1549;0.9881347282470019;4;2;50.0;False;18.59999999999991;4;100.0;Acceso Completo;True;True;[]
28114;2022-2023;Piñuécar-Gandullas;3;31;7;10;4;10;23.0;450;19.565217391304348;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28117;2022-2023;Prádena del Rincón;2;21;2;2;9;8;14.600000000000001;410;28.082191780821915;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28116;2022-2023;Pozuelo del Rey;4;321;65;83;100;73;262.6;2005;7.635186595582635;4;3;75.0;False;0.0;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28156;2022-2023;Valdeavero;5;408;83;93;129;103;325.6;1752;5.38083538083538;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28034;2022-2023;Canencia;7;53;13;11;13;16;40.2;1849;45.99502487562189;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28076;2022-2023;Lozoya;4;70;13;17;15;25;50.0;1029;20.58;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28059;2022-2023;Fuente el Saz de Jarama;2;1538;284;380;414;460;1170.0;785;0.6709401709401709;4;0;0.0;False;385.0;4;100.0;Acceso Completo;True;True;[]
28144;2022-2023;Soto del Real;5;1875;306;432;518;619;1379.8;1423;1.0313088853457024;4;2;50.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28145;2022-2023;Talamanca de Jarama;1;1049;195;288;304;262;839.4000000000001;734;0.8744341196092446;4;2;50.0;False;105.40000000000009;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28010;2022-2023;Alpedrete;8;3394;488;709;997;1200;2434.0;2088;0.8578471651602301;4;1;25.0;False;346.0;4;100.0;Acceso Completo;True;True;[]
28147;2022-2023;Titulcia;3;280;48;74;78;80;216.0;1438;6.657407407407407;4;3;75.0;False;0.0;3;75.0;Acceso Bueno;True;True;['infantil_i_ciclo']
28167;2022-2023;Velilla de San Antonio;4;3093;624;760;779;930;2349.0;1829;0.7786292039165602;4;0;0.0;False;520.0;4;100.0;Acceso Completo;True;True;[]
28085;2022-2023;Miraflores de la Sierra;3;1443;247;332;407;457;1077.4;706;0.6552812325969927;4;0;0.0;False;371.4000000000001;4;100.0;Acceso Completo;True;True;[]
28019;2022-2023;Belmonte de Tajo;7;384;83;93;113;95;308.0;1258;4.084415584415584;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28057;2022-2023;Fresno de Torote;6;616;113;153;178;172;478.40000000000003;2911;6.084866220735785;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28046;2022-2023;Collado Mediano;3;1596;285;361;449;501;1195.1999999999998;590;0.4936412315930389;4;0;0.0;False;605.1999999999998;4;100.0;Acceso Completo;True;True;[]
28112;2022-2023;Pinilla del Valle;5;23;4;2;9;8;16.6;770;46.3855421686747;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28051;2022-2023;Chapinería;2;642;113;180;182;167;508.4;490;0.963808025177026;4;1;25.0;False;18.399999999999977;4;100.0;Acceso Completo;True;True;[]
28023;2022-2023;El Boalo;7;2055;302;538;634;581;1590.1999999999998;2660;1.672745566595397;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
28138;2022-2023;La Serna del Monte;3;21;6;3;6;6;16.2;455;28.08641975308642;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28101;2022-2023;Olmeda de las Fuentes;2;84;13;25;26;20;68.0;662;9.735294117647058;4;4;100.0;True;0.0;4;100.0;Acceso Completo;True;True;[]
28177;2022-2023;Villanueva del Pardillo;6;4796;671;948;1416;1761;3387.2;1950;0.5756967406707605;4;0;0.0;False;1437.1999999999998;4;100.0;Acceso Completo;True;True;[]
28173;2022-2023;Villamanrique de Tajo;3;133;24;30;37;42;99.4;787;7.917505030181086;4;3;75.0;False;0.0;4;100.0;Acceso Completo;True;True;[]
