id_municipality,id_education,id_municipality_original
28166,28045773,28154
28165,28048130,28165
28165,28025415,28165
28165,28048130,28165
28165,28025415,28165
28165,28025415,28165
28159,28067264,28159
28159,28067264,28159
28159,28024071,28125
28159,28059279,28125
28016,28066272,28039
28016,28066272,28039
28016,28044781,28901
28016,28044781,28901
28016,28025129,28151
28016,28041381,28030
28016,28041381,28030
28016,28001952,28027
28075,28048701,28075
28075,28003961,28075
28075,28048701,28075
28075,28065565,28075
28075,28070111,28075
28075,28073938,28075
28075,28003961,28075
28075,28065565,28075
28075,28073938,28075
28075,28076381,28075
28018,28057738,28018
28018,28001812,28018
28018,28057738,28018
28018,28001812,28018
28018,28001812,28018
28124,28066272,28039
28124,28066272,28039
28124,28044781,28901
28124,28044781,28901
28124,28041381,28030
28124,28041381,28030
28124,28001952,28027
28174,28058901,28174
28174,28025521,28174
28174,28058901,28174
28174,28025521,28174
28174,28067768,28175
28108,28067719,28108
28108,28048014,28108
28108,28058548,28108
28108,28064081,28108
28108,28067719,28108
28108,28058548,28108
28108,28064081,28108
28108,28071310,28086
28108,28071310,28086
28082,28056151,28045
28082,28056230,28090
28082,28057738,28018
28082,28047873,28045
28082,28047940,28090
28082,28047964,28093
28082,28022864,28082
28082,28057714,28082
28082,28022864,28082
28082,28057751,28144
28163,28064755,28163
28163,28064755,28163
28163,28063830,28145
28163,28063830,28145
28158,28058895,28158
28158,28058895,28158
28158,28001991,28028
28158,28041381,28030
28158,28041381,28030
28004,28058809,28004
28004,28058809,28004
28004,28000042,28004
28004,28000042,28004
28004,28058809,28004
28004,28058809,28004
28004,28000042,28004
28004,28000042,28004
28004,28058676,28004
28004,28058676,28004
28008,28047034,28008
28008,28001241,28008
28008,28047034,28008
28008,28001241,28008
28008,28067744,28051
28064,28056175,28027
28064,28047058,28027
28064,28048750,28182
28064,28047058,28027
28064,28048750,28182
28064,28001952,28027
28064,28001952,28027
28064,28001952,28027
28131,28057741,28183
28131,28024356,28131
28131,28034064,28131
28131,28044011,28131
28131,28044021,28131
28131,28024356,28131
28131,28034064,28131
28131,28028684,28131
28131,28060816,28131
28180,28047319,28180
28180,28056242,28180
28180,28057830,28180
28180,28025634,28180
28180,28047319,28180
28180,28057830,28180
28180,28025634,28180
28180,28025658,28180
28180,28045049,28180
28078,28047204,28088
28078,28047204,28088
28078,28001952,28027
28078,28001952,28027
28054,28058214,28047
28054,28002713,28054
28054,28002713,28054
28054,28047541,28054
28054,28047541,28054
28054,28002695,28054
28054,28002695,28054
28054,28046364,28054
28054,28046364,28054
28031,28047083,28031
28031,28002026,28031
28031,28047083,28031
28031,28002026,28031
28031,28002026,28031
28021,28050631,28021
28021,28050631,28021
28021,28050631,28021
28021,28050631,28021
28021,28044781,28901
28021,28044781,28901
28021,28002014,28030
28021,28002014,28030
28021,28041381,28030
28021,28041381,28030
28033,28047782,28033
28033,28068797,28033
28033,28002041,28033
28033,28047782,28033
28033,28002041,28033
28033,28065841,28033
28015,28056321,28015
28015,28061717,28015
28015,28001794,28015
28015,28060245,28015
28015,28061717,28015
28015,28063829,28015
28015,28067550,28015
28015,28068219,28015
28015,28077336,28015
28015,28001794,28015
28015,28060245,28015
28015,28063829,28015
28015,28067550,28015
28015,28077336,28015
28015,28050525,28015
28015,28074049,28015
28015,28080050,28015
28066,28047265,28140
28066,28070317,28050
28066,28003407,28066
28066,28072284,28066
28066,28003407,28066
28066,28046315,28066
28027,28047058,28027
28027,28056175,28027
28027,28001952,28027
28027,28047058,28027
28027,28001952,28027
28027,28001952,28027
28170,28048166,28170
28170,28025476,28170
28170,28048166,28170
28170,28025476,28170
28170,28040684,28052
28170,28046285,28043
28160,28048181,28160
28160,28056229,28160
28160,28025294,28160
28160,28048181,28160
28160,28070123,28160
28160,28025294,28160
28160,28045839,28160
28122,28062667,28122
28122,28062667,28122
28122,28065504,28122
28122,28065504,28122
28122,28040611,28009
28122,28040672,28009
28122,28025403,28164
28122,28002853,28059
28024,28056175,28027
28024,28047058,28027
28024,28048750,28182
28024,28047058,28027
28024,28048750,28182
28024,28001952,28027
28024,28001952,28027
28024,28001952,28027
28151,28056205,28153
28151,28048002,28107
28151,28048725,28121
28151,28047289,28153
28151,28025130,28151
28151,28047277,28151
28151,28025130,28151
28151,28025129,28151
28002,28047824,28053
28002,28000029,28002
28002,28071152,28002
28002,28000029,28002
28002,28000029,28002
28009,28047757,28009
28009,28001277,28009
28009,28037171,28009
28009,28038112,28009
28009,28039669,28009
28009,28042802,28009
28009,28043041,28009
28009,28047757,28009
28009,28049134,28009
28009,28064071,28009
28009,28068773,28009
28009,28001277,28009
28009,28037171,28009
28009,28038112,28009
28009,28039669,28009
28009,28042802,28009
28009,28043041,28009
28009,28064071,28009
28009,28039669,28009
28009,28040611,28009
28009,28040672,28009
28111,28067276,28111
28111,28067276,28111
28111,28044801,28136
28111,28025506,28172
28111,28023388,28100
28111,28023388,28100
28099,28047988,28099
28099,28058858,28099
28099,28023364,28099
28099,28047988,28099
28099,28023364,28099
28099,28023364,28099
28129,28047836,28059
28129,28067719,28108
28129,28048129,28164
28129,28024253,28129
28129,28058196,28129
28129,28064068,28129
28129,28024253,28129
28129,28064068,28129
28129,28046339,28129
28038,28047681,28038
28038,28002129,28038
28038,28047681,28038
28038,28002129,28038
28038,28035342,28038
28050,28070317,28050
28050,28002609,28050
28050,28070317,28050
28050,28073884,28050
28050,28002609,28050
28050,28073884,28050
28050,28075509,28050
28132,28048041,28132
28132,28056254,28132
28132,28024460,28132
28132,28024484,28132
28132,28035688,28132
28132,28045475,28132
28132,28046081,28132
28132,28048041,28132
28132,28050434,28132
28132,28024460,28132
28132,28024484,28132
28132,28035688,28132
28132,28045475,28132
28132,28050434,28132
28132,28044768,28132
28119,28050185,28119
28119,28050185,28119
28119,28062345,28119
28119,28062345,28119
28119,28050537,28026
28119,28046303,28176
28119,28046303,28176
28119,28057088,28176
28119,28057088,28176
28035,28047769,28035
28035,28047769,28035
28035,28063933,28035
28035,28063933,28035
28035,28025415,28165
28088,28047204,28088
28088,28047204,28088
28088,28001952,28027
28088,28001952,28027
28044,28056229,28160
28044,28058214,28047
28044,28048181,28160
28044,28002269,28044
28044,28057064,28044
28044,28059589,28044
28044,28002269,28044
28044,28057064,28044
28044,28046558,28044
28114,28056175,28027
28114,28047058,28027
28114,28047204,28088
28114,28047058,28027
28114,28047204,28088
28114,28001952,28027
28114,28001952,28027
28114,28001952,28027
28117,28047204,28088
28117,28047204,28088
28117,28001952,28027
28117,28001952,28027
28116,28048038,28116
28116,28048038,28116
28116,28002041,28033
28116,28025208,28154
28116,28065841,28033
28116,28045773,28154
28156,28047848,28057
28156,28062667,28122
28156,28025233,28156
28156,28025233,28156
28156,28057210,28083
28156,28002038,28032
28034,28047061,28028
28034,28047174,28076
28034,28047061,28028
28034,28047174,28076
28034,28042863,28076
28034,28001991,28028
28034,28042863,28076
28034,28001991,28028
28034,28041381,28030
28034,28041381,28030
28034,28001952,28027
28034,28022891,28085
28076,28047174,28076
28076,28042863,28076
28076,28047174,28076
28076,28042863,28076
28076,28001952,28027
28076,28022891,28085
28059,28047836,28059
28059,28002853,28059
28059,28047836,28059
28059,28002853,28059
28059,28002853,28059
28144,28065981,28067
28144,28024800,28144
28144,28049110,28144
28144,28058551,28144
28144,28024800,28144
28144,28058551,28144
28144,28057751,28144
28145,28048087,28145
28145,28057374,28145
28145,28048087,28145
28145,28063830,28145
28145,28063830,28145
28145,28063830,28145
28010,28056230,28090
28010,28057404,28068
28010,28047800,28046
28010,28058214,28047
28010,28048683,28068
28010,28047940,28090
28010,28001289,28010
28010,28031786,28010
28010,28056138,28010
28010,28064275,28010
28010,28064411,28010
28010,28001289,28010
28010,28031786,28010
28010,28056138,28010
28010,28064411,28010
28010,28046111,28010
28147,28048105,28147
28147,28024848,28147
28147,28048105,28147
28147,28024848,28147
28147,28062035,28040
28147,28002181,28040
28167,28056266,28014
28167,28047046,28014
28167,28050665,28123
28167,28048701,28075
28167,28025440,28167
28167,28048142,28167
28167,28063957,28167
28167,28025440,28167
28167,28063957,28167
28167,28057209,28167
28085,28065981,28067
28085,28022891,28085
28085,28047198,28085
28085,28022891,28085
28085,28022891,28085
28019,28057830,28180
28019,28057842,28043
28019,28064743,28157
28019,28001824,28019
28019,28070299,28019
28019,28001824,28019
28019,28025658,28180
28019,28045049,28180
28019,28046285,28043
28057,28047848,28057
28057,28047848,28057
28057,28049626,28057
28057,28049626,28057
28057,28040611,28009
28057,28040672,28009
28057,28002038,28032
28057,28002853,28059
28046,28047800,28046
28046,28002361,28046
28046,28047800,28046
28046,28002361,28046
